nombre,razon_social,domicilio,colonia,poblacion
EST DE SERV TAURO DEB ,SALCIDO CONTRERAS HOMERO,CARR INT MEX TIJUANA KM 111,CENTRO,CABORCA SON
EST SERV SALCIDO DEB  ,SALCIDO CONTRERAS HOMERO,CALLE OBREGON NO 19 PTE,CENTRO,CABORCA SON
MERCANTIL OCCIDENTAL  ,MERCANTIL OCCIDENTAL SA CV,OBREGON NO 402,CENTRO,CABORCA SON
SERV EL DORADO,MONREAL LIZARRAGA LUCRECIA,AV QURIOZ Y MORA NO 222 NTE,CENTRO,CABORCA SON
SERV GARAL,SERVICIO GARAL SRL CV,LAMBERTO HERNANDEZ NO 280,CENTRO,CABORCA SON
SOCOADA,SOC COPR AGROP DIST AL SCL,CALLE PITIQUITO NO 30 OESTE,ORTIZ,CABORCA SON
SOCOADA DEB,SOC COOP AGR D DIS D AL SCL,C PIQUITO NO 30 OESTE,CENTRO,CABORCA SON
GASOL DONA PURE,GASOLINERIA DONA PURE SA CV,CARR SAN JUAN XILITLA KM 48.5,CADEREYTA DE MONTES,CADEREYTA D MONTES QRO
VIZA LUAN GASOL,VIZA LUAN GASOLINERIA SA CV,CARR SJR XILITLA KM 73.2,VIZARRON DE MONTES,CADEREYTA D MONTES QRO
SERCA,SERV REFINERIA CADEREYTA SA CV,BLVD INDEPENDENCIA SN,CADEREYTA JIMENEZ,CADEREYTA JIMENEZ NL
GASOL GUME DE PROVID  ,GASOL GUME PROVIDENCIA SA CV  ,BASE NO 2002,LA PROVIDENCIA,CAJEME SON
GASOL IMNO,GRUPO IMNO SA CV,FLAVIO BORQUEZ NO 316 PTE,SOCHILOA,CAJEME SON
GASOL SARU,GASOLINERA SARU SA CV,NORMAN BOURLANG SN,VALLE DORADO,CAJEME SON
SERV ABASTO OBREGON,SERV ABASTO OBREGON SACV,CARR INTERNAL KM 1845 SN,CENTRO,CAJEME SON
SERV ALAMEDA COCORIT  ,RIVERA ALAMEDA CO SA CV,BLVD A VALDEZ HERRERA 1315 PTE,COCORIT,CAJEME SON
APTO DE ZACATECAS,APTOS Y SERV AUXILIARES,CARR PANAMERICANA KM 23 NO 900,CENTRO,CALERA ZAC
GASISLO CALERA,GASISLO 2000 SA CV,5 DE MAYO SUR NO 703,CENTRO,CALERA ZAC
SERV VEGA CALIMAYA DEB,SERVICIO VEGA SA CV,MEXICALZ SANTIAGO TIANG KM 5.7,CALIMAYA,CALIMAYA EM
SUPER SERV MAFER,SUPER SERV MAFER SA CV,JUAREZ NTE NO 90,CALIMAYA DE DIAZ GLEZ CALIMAYA,CALIMAYA EM
SERV CALPULALPAN,SERVICIO CALPULALPAN SA CV,CARR MEXICO VERACRUZ NO KM 62,CALPULALPAN,CALPULALPAN TLAX
APTO DE CAMPECHE,APTOS Y SERVICIOS AUXILIARES  ,AV LOPEZ PORTILLO SN,AEROPUERTO,CAMPECHE CAMP
ESGES,ESGES SA CV,AV R CORTINEZ NO 112 T CRISTAL,SAN JOSE,CAMPECHE CAMP
GASOL EL CENTENARIO,FLORES MEJIA ALAN,BLVD L GUTIERREZ DE LARA NO 1,VALLE DEL COBRE,CANANEA SON
GASOL GALLEGO HNOS,GASOLINERA GALLEGO HNOS SA CV ,AV JUAREZ NO 144,CANANEA,CANANEA SON
COMB DE CANATLAN,COMBUSTIBLES DE CANATLAN SACV ,E W SANCHEZ NO 1000,CENTRO,CANATLAN DGO
COMB DE CANATLAN DEB  ,COMBUSTIBLES DE CANATLAN SA CV,E W SANCHEZ NO 1000,CENTRO,CANATLAN DGO
GAS IMPERIAL DURANGO  ,REGIO GAS LERDO SA,CARR FCO ZARCO NO SN,CANATLAN DE LAS MANZANAS,CANATLAN DGO
APTO DE CANCUN,APTOS Y SERVICIOS AUXILIARES  ,CARR CANCUN CHETUMAL KM 22,CENTRO,CANCUN QROO
EST LOS ALPES,EST SERV LOS ALPES SA CV,AV PROL BONAMPAK MZ 51 L 1 1 2,SM 51,CANCUN QROO
ESTACION ORION,RESIDENCIAL CARIBE 2000 SA CV ,AV ROD GOMEZ NO 124 SM 36 GA,SUPERMANZANAS 16 17 18 Y 19,CANCUN QROO
ESTACION PTO CANCUN,ESTACION PUERTO CANCUN SA CV  ,MZA 1 L 1 Y 2,SECC E,CANCUN QROO
ESTACION TALLERES,ESTACION TALLERES SA CV,MZA 6 L 6,SM 210,CANCUN QROO
GAS CIMARRON,GASOLINERIA CIMARRON SA CV,MZ 1 LT 6 7 7 8,SM 68,CANCUN QROO
GAS NORPONIENTE,GASOLINERIA NORPONIENTE SA CV ,MZ 1 LOTE 5 02,SM 200,CANCUN QROO
GAS TAURUS,GAS TAURUS SA CV,LUIS DONALDO COLOSIO SA CV SN,SASCABERAS,CANCUN QROO
GASOL MANANTIAL,GASOLINERIA MANANTIAL SA CV,MZ 60 LT 1,SM 219,CANCUN QROO
SERV ARRECIFE,SERVICIO ARRECIFE SA CV,MZA 33 L 6 7 Y 8,SM 100,CANCUN QROO
SERV CD IND CANCUN,SERVICIO CIUDAD INDU CAN SA CV,AV COMALC X MAYAPAN LT 11 Y 12,ZONA INDUSTRIAL,CANCUN QROO
SERV COSTA AZUL T,SERV COSTA AZUL TURQUESA SACV ,MZ 7 LT 2,SM 509,CANCUN QROO
SERV COSTA AZUL T1,SERV COSTA AZUL TURQUESA SA CV,AV BONAMPAK MZ 85 LT 04,SM 99,CANCUN QROO
SERV KOHULICH,SERVICIO KOHUNLICH SA CV,MZ 1 LT 1,SMZ 49,CANCUN QROO
SERV MANGLARES,SERVICIO MANGLARES SA CV,MZ 5 L 4A 6A Y 6,REGION 84,CANCUN QROO
SERV MAR CARIBENO,SERV MAR CARIBENO SA CV,REGION NO 228 LOTE 14 15 Y 16,SM 104,CANCUN QROO
SERV MAR PROFUNDO,SERVICIO MAR PROFUNDO SA CV,MZ 8 LT 2,REGION 233,CANCUN QROO
SERV TORRE BLANCA,SERV TORRE BLANCA SA CV,AV FCO I MADERO MZ 01 LT 77 02,SM 73,CANCUN QROO
SERV TUCANES,SERVICIOS TUCANES SA CV,AV LEONA VICARIO MZ 1 LT 1,SM 219,CANCUN QROO
SERV TULIPANES,SERVICIOS TULIPANES SA CV,SM 310 MZ 66 LT 34 CARR CANCUN,CENTRO,CANCUN QROO
SERV ZENOTE,SERVICIO ZENOTE SA CV,MZ 45 LT 9 10 11 Y 12,SM 58,CANCUN QROO
SERVI FACIL,SERV FACIL DEL SURESTE SA CV  ,AV LAZARO CARDENAS NO 1023,CENTRO,CARDENAS TAB
E S CUAUHTEMOC,ESTAC DE SERV CUAUHT SA CV,31 NO 108,CUAUHTEMOC,CARMEN CAMP
GASOL LA PROVI,GASOL LA PROVI SA CV,BENITO JUAREZ NO 20,CASTANOS,CASTANOS COAH
UNION DE EJIDOS DE P C,UNION DE EJIDOS DE P C SA,CARR TRANSPENIN SN KM 214,VARGAS,CD CONSTITUCION BCS
GASOL AZTECA,GASOLINERA AZTECA SA CV,CALZ 16 SEPT Y A RODRIGUEZ SN,GUADALUPE VICTORIA,CD CUAUHTEMOC CHIH
MADSA,MULT Y ABARROTES DYC SA CV,KM 29 5 CARR ALVARO OBREGON NO,CENTRO,CD CUAUHTEMOC CHIH
SERV CHAVO,SERVICIO CHAVO SA CV,CARR A GUERRERO KM 108 NO SN,TIERRA Y LIBERTAD SECTOR A,CD CUAUHTEMOC CHIH
SERV LA CUESTA,RODRIGUEZ GUTIERREZ TELES,AV ALLENDE Y 16 DE SEPTIEMBRE,CENTRO,CD CUAUHTEMOC CHIH
SERV MARLO,SERVICIO MARLO SA CV,AV JUAREZ NO 915,CENTRO,CD CUAUHTEMOC CHIH
SERV MERAZ,SERVICIO MERAZ SA CV,AV ALLENDE Y 16 NO 1617,CENTRO,CD CUAUHTEMOC CHIH
SERV SOL,SERVICIO SOL SA CV,AV MORELOS Y PROL NO 5980,JUAREZ BENITO,CD CUAUHTEMOC CHIH
SERV SOL,SERVICIO SOL SA CV,AV MORELOS Y C 31 A NO 3133,VILLA FRANCISCO,CD CUAUHTEMOC CHIH
EST SERV RAYMEL,SERV DE COMBUST RAYMEL SA CV  ,MZ 5 LT 9,FRACC SAN FRANCISCO,CD DEL CARMEN CAMP
EST SERV RAYMEL DEB,SERV DE COMBUST RAYMEL SA CV  ,MZ 5 LT 9,FRACC SAN FRANCISCO,CD DEL CARMEN CAMP
SERV IMPERIAL,SERVICIO IMPERIAL DE MEX SA CV,C 20 NO 212,PAYAS,CD DEL CARMEN CAMP
SERV IMPERIAL DE MEX  ,SERV IMPERIAL DE MEX SA CV,AV PAEZ URQUIDI ESQUINA C20 SN,PALLAS,CD DEL CARMEN CAMP
SUPER SERV VALLE MAIZ ,SUPER SERV VALLE MAIZ SACV,CARR TAMPICO BARRA NAV KM111 5,AGUA NUEVA DEL NORTE,CD DEL MAIZ SLP
COMB Y LUBRICANTES,COMB Y LUB DELICIAS SA CV,AV 6A OTE NO 401,CENTRO,CD DELICIAS CHIH
DESERT GAS,DESERT GAS SA CV,AV 6A OTE NO 724,CENTRO,CD DELICIAS CHIH
GAS PIONEROS,ESTACION D SERV PIONEROS SA CV,AV FERNANDO BAEZA SUR NO 1305,CENTRO,CD DELICIAS CHIH
GAS PIONEROS,ESTAC D SERVPIONEROS SA CV,CARR A ORRANTENO VIA FRACC SN,CENTRO,CD DELICIAS CHIH
SER PANA,SERPANA SA CV,AV 6A NTE NO 811,CENTRO,CD DELICIAS CHIH
SERV SYC,SERVICIO SYC SA CV,BLVD OSCAR FLORES NTE NO 514,CENTRO,CD DELICIAS CHIH
INVERSIONES RIO VERDE ,INVERSIONES DE RIOVERDE SA CV ,KM 12 CARR RIO VERDE SAN LUIS,CIUDAD FERNANDEZ,CD FERNANDEZ SLP
GASOL SERV AEROPUERTO ,CARDENAS VERGARA FRANCISCO,AV MIGUEL DE LA MADRID H SN,CENTRO,CD GUZMAN JAL
GASOL SERV DEL SUR,SUPER SERVICIO DEL SUR SA CV  ,AV CRISTOBAL COLON NO 726,JARDINES DE ZAPOTLAN,CD GUZMAN JAL
APTO DE CIUDAD JUAREZ ,APTOS Y SERVICIOS AUXILIARES  ,CARR PANAMERICANA KM 18.5,ZONA FEDERAL,CD JUAREZ CHIH
AUTO GAS,HO CHAVEZ LUZ MARIA,AV DE LAS AMERICAS NO 1128 NTE,LA PLAYA,CD JUAREZ CHIH
AUTO GAS DEB,HO CHAVEZ LUZ MARIA,AV DE LAS AMERICAS NO 1128 NTE,LA PLAYA,CD JUAREZ CHIH
AUTO PRONTO SANTOS,AUTO PRONTO SA CV,CARR PANAMERICA NO 9581,CARDENAS LAZARO,CD JUAREZ CHIH
AUTOPRONTO AMIGO,AUTO PRONTO SA CV,AV JILTPEC NO 10104,APTO AMPLIACION FRAC,CD JUAREZ CHIH
AUTOPRONTO EL GRANJERO,AUTO PRONTO SA CV,AV PANAMERICANA NO 6024,APTO AMPLIACION FRAC,CD JUAREZ CHIH
,AUTO PRONTO SA CV,CARR JUAREZ PORVENIR NO 7117,BUROCRATA 1A SECCION,CD JUAREZ CHIH
AUTOPRONTO FRONTERIZO ,AUTO PRONTO SA CV,BLVD B NORZAGARAY NO 5950,ANGELES FELIPE,CD JUAREZ CHIH
AUTOPRONTO HENEQUEN,AUTO PRONTO SA CV,AV HENEQUEN NO 10117,COLINAS DEL SUR,CD JUAREZ CHIH
AUTOPRONTO NOGALES,AUTO PRONTO SA CV,SIMONA BARBA NO 5015,BUROCRATA 3A SECCION,CD JUAREZ CHIH
AUTOPRONTO PONCIANO AR,AUTO PRONTO SA CV,AV EJE JUAN GABRIEL NO 5471,JARUDO INFONAVIT,CD JUAREZ CHIH
AUTOPRONTO PQUE BERMUD,AUTO PRONTO SA CV,BLVD TOMAS BERMUDEZ NO 8751,PQUE IND ANTONIO J BERMUDEZ,CD JUAREZ CHIH
CAR GAS 1,CAR GAS SEVILLA SA CV,C SEVILLA NO 4339,SANTA ROSA,CD JUAREZ CHIH
CAR GAS 2,CAR GAS SEVILLA SA CV,C SEVILLA NO 5161,SAN ANTONIO,CD JUAREZ CHIH
CAR GAS 3,CAR GAS SEVILLA SA CV,BLVD ZARAGOZA NO 8304,EL GRANJERO,CD JUAREZ CHIH
CIA GASOL DEL VALLE,CIA GASOLINERA DEL VALLE SA CV,CRT PANAMERICANA NO 3130,DEL MARQUEZ FRACCIONAMIENTO,CD JUAREZ CHIH
GASOL Y LUB ALSEGA,GASOL Y LUB ALSEGA SA CV,AV EJERCITO NAC NO 7840,PARTIDO IGLESIAS,CD JUAREZ CHIH
GASOL Y LUBRICANTES AL,GASOL Y LUB ALSEGA SA CV,AV EJERCITO NACIONAL NO 8181,PARTIDO IGLESIAS,CD JUAREZ CHIH
RAPIGAS B CALIF 8244  ,SERV BAJA CALIFORNIA SA CV,AV M TALAMAS CAMANDARI NO 850,CENTRO,CD JUAREZ CHIH
RAPIGAS ESTACION 1149 ,SUPER BORDERS SA CV,IGNACIO MEJIA NO 317,ALDAMA,CD JUAREZ CHIH
RAPIGAS ESTACION 2526 ,DIAZ VILLALOBOS ALEJANDRO,AV LOPEZ MATEOS NO 1604,CHIHUAHUA PONIENTE,CD JUAREZ CHIH
RAPIGAS ESTACION 4179 ,DIAZ GAS SA CV,AV RAFAEL PEREZ SERNA NO 676,PARTIDO ROMERO,CD JUAREZ CHIH
RAPIGAS ESTACION 4188 ,DIAZ GAS SA CV,AV RAFAEL PEREZ SERNA NO 755,PARTIDO ROMERO,CD JUAREZ CHIH
RAPIGAS ESTACION 5317 ,DIAZ GAS SA CV,MPO LIBRE NO 10,CHIHUAHUA PONIENTE,CD JUAREZ CHIH
RAPIGAS ESTACION 6410 ,HERBANO SA CV,PASEO DE LA VICTORIA NO 4420,APTO  AMPLIACION 1ER SECTOR,CD JUAREZ CHIH
RAPIGAS ESTACION 6947 ,SERV BAJA CALIFORNIA SA CV,PTO DE PALOS NO 1050,AGUILAS FRACCIONAMIENTO,CD JUAREZ CHIH
RAPIGAS ESTACION 7167 ,PETROPLUS DE JUAREZ SA CV,MIGUEL DE LA MADRID NO 7675,HEROES DE LA REVOLUCION,CD JUAREZ CHIH
RAPIGAS LA 47 1147,LA 47 DE JUAREZ SA CV,MALECON NO 2791,AMERICA,CD JUAREZ CHIH
SERV NORIEGA,MULTISERV MONUMENTO SA CV,CONSTITUCION NO 523 SUR,MONUMENTO,CD JUAREZ CHIH
APTO D LAZARO CARDENAS,AEROPUERTOS Y SERV AUXILIARES ,DOMICILIO CON CARR LAZARO CARD,AEROPUERTO,CD L CARDENAS MICH
GASOL DEL BALSAS,GASOLINERA DEL BALSAS SA CV,AV JOSE MA MORELOS NO 42 A,2DO SECTOR FIDEICOMISO,CD L CARDENAS MICH
GASOL ISLACAYACAL,GASOLINERA ISLA CAYACAL SA CV ,AV LS PALMAS L3 M1 U8 4 NO 796,CIUDAD LAZARO CARDENAS,CD L CARDENAS MICH
GASOL LAS TORRES,EST DE SERV LAS TORRES SA CV  ,AV MELCHOR OCAMPO NO 77,2DO SECTOR DE FIDEICOMIS,CD L CARDENAS MICH
SUPER SERV LIBRAMIENTO,SUPER SERV EL LIBRAMIENTO SACV,AV MELCHOR OCAMPO NO 4179,EMILIANO ZAPATA,CD L CARDENAS MICH
SERV SILERO,SILERO GUERRA JAIME SERGIO,GUERRERO NO 35 PTE,CENTRO,CD LERDO DGO
AUT EXPRESS BOULEVARD ,AUTI EXPRESS SA CV,BLVD ADOLFO L MATEOS NO 1001 S,JARDIN VEINTE DE NOVIEMBRE,CD MADERO TAMPS
BRARO,BRARO SA CV,ALVARO OBREGON NO 601 SUR,ZONA CENTRO,CD MADERO TAMPS
EST DE SERV MADERO,EST DE SERV MADERO SA CV,ALVARO OBREGON NO 401 103,GUERRERO VICENTE,CD MADERO TAMPS
EST Y SERV CORREDO URB,EST SERV CORREDOR URB SA CV,AV TAMAULIPAS NO 3000,MIRAMAR,CD MADERO TAMPS
GASOL DE LA V GUERRERO,GAS VICENTE GUERRERO SA CV,ALVARO OBREGON NO 1201,JUAREZ BENITO SUR,CD MADERO TAMPS
GASOL EL MANANTIAL,GASOLINERIA EL MANANTIAL SA CV,ADOLFO LOPEZ MATEOS NO 100,LOS MANGOS,CD MADERO TAMPS
GASOL EL MANANTIAL DEB,GASOLINERA EL MANANTIAL SA CV ,ADOLFO LOPEZ MATEOS NO 100,LOS MANGOS,CD MADERO TAMPS
GRUPO JABE,BIOTEGUI ETIENNE JUAN ARTURO  ,CHIHUAHUA Y MERIDA SN,HIDALGO ORIENTE,CD MADERO TAMPS
SERV 18 DE MARZO,SERVICIO 18 DE MARZO SA CV,TAMAULIPAS SN ESQ INSURGENTES,UNIDAD NACIONAL AMPLIACION,CD MADERO TAMPS
SERV 18 DE MARZO,SERV 18 DE MARZO SA CV,1 DE MAYO NO 1401 PTE,CARDENAS LAZARO,CD MADERO TAMPS
SERV BOULEVARD,SERVICIO BOULEVARD SA CV,ADOLFO L MATEOS NO 700,ESFUERZO NACIONAL,CD MADERO TAMPS
SERV GASOLINEROS SANCH,SERV GASOLINEROS SANCH SA CV  ,AV MONTERREY NO 113,LOS CEDROS,CD MADERO TAMPS
SERV LIB MIRAMAR,SERV LIB MIRAMAR SA CV,CORREDOR URBANO KM 3 740,UNIDAD NACIONAL AMPLIACION,CD MADERO TAMPS
SERV YUGAR,SERVICIO YU GAR SA CV,JIMENEZ NO 605 PTE,HIPODROMO,CD MADERO TAMPS
SERV YUGAR,SERV YU GAR SA CV,AV MADERO NO 401 PTE,UNIDAD NACIONAL,CD MADERO TAMPS
SUPER SERV ESTADIO,SUPER SERV ESTADIO SA CV,GUATEMALA NO 1500 PTE,GUERRERO VICENTE,CD MADERO TAMPS
SUPER SERV UNIDAD,SUPER SERVICIO UNIDAD SA CV,AV MONTERREY NO 601 PTE,UNIDAD NACIONAL AMPLIACION,CD MADERO TAMPS
AUTO PARK MANTE,ESPER BUJAIDAR ALFONSO,AV JUAN DE D VILLARREAL NO 101,NAC COLECTIVA 1A 2A Y 3A ETAPA,CD MANTE TAMPS
APTO DE CD OBREGON,APTOS Y SERVS AUXILIARES,CARR INTNAL NO 1840,CENTRO,CD OBREGON SON
CALYMASE,CALYMASE SA CV,NAINARI NO 915,MORELOS,CD OBREGON SON
ESTACION MODELO,ESTACION MODELO SA CV,COAHUILA Y CHURUBUSCO NO 101,CAMPESTRE,CD OBREGON SON
GASOL PEREZ ALVAREZ,PEREZ ALVAREZ SA CV,DR NORMAN BORLAUG NO 6051 SUR,CENTRO,CD OBREGON SON
GASOL SAN CARLOS,GASOLINERA SAN CARLOS SA CV,MIGUEL ALEMAN SUR NO 598,CENTRO,CD OBREGON SON
GASOL SAN CARLOS ES,GASOLINERA SAN CARLOS SA CV,MIGUEL ALEMAN SUR NO 598,CENTRO,CD OBREGON SON
GASOL VAL KAR,SERVICIO VAL KAR SA CV,TABASCO SUR NO 870,CENTRO,CD OBREGON SON
GASOLINERA RIVERA,RIVERA LEYVA SA CV,PRIVADA DOS NO 934 OTE,CENTRO,CD OBREGON SON
GERMAN DUMAS FELIX,GERMAN DUMAS FELIX SA CV,GUERRERO NO 2007 B,BELLAVISTA,CD OBREGON SON
MERCANTIL OCCIDENTAL  ,MERCANTIL OCCIDENTAL SA CV,DONATO GUERRA NO 3805 SUR,SERNA FAUSTINO FELIX,CD OBREGON SON
SERV 200,SERVICIO 200 SA CV,R ELIAS CS NO 1798 PTE,BELLAVISTA,CD OBREGON SON
SERV 300,SERVICIO 300 SA CV,C JACINTO L Y DONATO G SN ESQU,FAUSTINO FELIX,CD OBREGON SON
SERV ADRABO,ADRABO SA CV,RODOLFO ELIAS CALLES NO 2550,TEPEYAC,CD OBREGON SON
SERV CAMEL,SERV CAMEL SA CV,AV MIGUEL ALEMAN NO 675,CENTRO,CD OBREGON SON
SERV CARABLANCA,SERV CARABLANCA SA CV,RODOLFO ELIAS CS NO 1000,HIDALGO,CD OBREGON SON
SERV FORGAS,SERV Y LUBRICANTES FORGAS SACV,HIDALGO NO 401,CENTRO,CD OBREGON SON
SERV GF 44,SERV GF44 SA CV,SUFRAGIO EFECTIVO NO 940,CENTRO,CD OBREGON SON
SERV NAINARI,COMB Y SERVICIOS NAINARI SA CV,CARR OBREGON PROV PTE NO 2601,CENTRO,CD OBREGON SON
SERV NAINARI,SERVICIO NAINARI SA CV,JACINTO LOPEZ NO 446,LA CORTINA 2A SECCION,CD OBREGON SON
SERV NO REELECCION,SERV NO REELECCION SA CV,NO REELECCION NO 1402 OTE,JUAREZ BENITO,CD OBREGON SON
SERV RAMSA,RAMSA DEL YAQUI SA CV,NO REELECCION OTE NO 1125,CENTRO,CD OBREGON SON
SERV RAUL RIVERA,RAUL RIVERA L SA CV,5 DE FEBRERO SUR NO 613,CENTRO,CD OBREGON SON
SERVI APTO OBREGON,SERVI AEROPUERTO OBREGON SA CV,CARR MEXICO NOGALES KM 1825 SN,ADMINISTRACION DE CORREOS NO 1,CD OBREGON SON
SERVICIOS MOKAR,SERVICIOS MOKAR SA CV,CHIHUAHUA NO 172 SUR,CENTRO,CD OBREGON SON
SERVICO CIRCULO GL,SERVICIO CIRCULO GL SA CV,NAIINARI NO 1050,CENTRO,CD OBREGON SON
SERVS AVILA,SERVS AVILA DEL NOROESTE SA CV,CALIFORNIA Y GUERRERO ESQ SN,DEL VALLE,CD OBREGON SON
SERVS CALIFORNIA,SERV CAL CAJEME SA CV,JESUS GARCIA NO 609 PTE,CENTRO,CD OBREGON SON
SERVS OBREGON,SERVICIOS OBREGON SA CV,MIGUEL ALEMAN NO 806 NTE,NORTE,CD OBREGON SON
ENERGETICOS Y DERIVADO,MARTINEZ TIJERINA HUGO HECTOR ,LIB CARBONIFERA NTE NO 375,DEL VALLE,CD SABINAS COAH
GASOL SERV Y GRIEGA,GASOL SERV Y GRIEGA SA CV,CARR D LA CONSTIT 57 KM 135,FUNDADORES,CD SABINAS COAH
GASOLS SABINAS,GASOLINERIAS SABINAS SA CV,C LA MADRID SN,CENTRO,CD SABINAS COAH
GASOLS SABINAS,GASOLINERAS SABINAS SA CV,FCO I MADERO PTE SN L2,CENTRO,CD SABINAS COAH
SUPER GAS COMB NTE,SUPER GAS COMB NTE SA CV,INDEPENDENCIA NO 1414,DEL VALLE,CD SABINAS COAH
AUTO PARK HUASTECO,AUTO PARK HUASTECO SA CV,CARR NAC SN Y LIBRAMIENTO SUR,LAS LOMAS,CD VALLES SLP
ENERGETICOS DE VALLES ,ENERGETICOS DE VALLES SA CV,CARR MEX LAREDO Y V RIO VDE SN,CENTRO,CD VALLES SLP
ENERGETICOS EL INGENIO,ENERGETICOS EL INGENIO SA CV  ,CARR AL INGENIO KM 1.5,DIANA,CD VALLES SLP
ENERGETICOS HUASTECA  ,ENERGETICOS HUASTECA SA CV,CARR MEXICO LAREDO V TAMP NO 1,HIDALGO,CD VALLES SLP
ENERGETICOS POTOSINOS ,ENERGETICOS POTOSINOS SA CV,PEDRO ANTONIO SANTOS NO 643,CUAUHTEMOC,CD VALLES SLP
SERV CD VALLES,SERV CD VALLES SA CV,MIGUEL HIDALGO NO 99,CENTRO,CD VALLES SLP
SUPER SERV EL QUINTO  ,SUPER SERV EL QUINTO SA,CARR VALLES TAMPICO KM 3.6,LAS AGUILAS,CD VALLES SLP
COM MODELO DE VICTORIA,COM MODELO DE VICTORIA SA CV  ,JANAMBRE Y CARR MATAMOROS SN,BUENAVISTA,CD VICTORIA TAMPS
COM MODELO VICTORIA,COM MODELO VICTORIA SA CV,ART123 5 CEROS Y CARRERA NO 22,CENTRO,CD VICTORIA TAMPS
EL OLIVO CD VICTORIA  ,EL OLIVO CD VICTORIA SA CV,CARR VICTORIA MAT KM 5,CENTRO,CD VICTORIA TAMPS
ESTACION DE SERVICIO  ,ESTACION SERVICIO SAN SA CV,CAR VICTORIA MATAMOROS KM 1,MORELOS,CD VICTORIA TAMPS
GAS LA LIBERTAD AV,GASOLINERA LA LIBERTAD SA CV  ,AV L CARDENAS NO 3633,LAS ADELITAS,CD VICTORIA TAMPS
GAS LA LIBERTAD JUAREZ,GASOLINERA LA LIBERTAD SA CV  ,35 JUAREZ ESQUINA NO 239,ALEMAN MIGUEL,CD VICTORIA TAMPS
GAS LA LIBERTAD LIB EM,GASOLINERA LA LIBERTAD SA CV  ,LIB E PORTES GIL NO 1044,NUEVO SANTANDER,CD VICTORIA TAMPS
GASOL EL 27,GASOLINERA EL 27 SA CV,LAURO RENDON VALDEZ NO 112,HEROE DE NACOZARI,CD VICTORIA TAMPS
GASOL JEBLA,GASOLINERA JEBLA SA CV,CARR VICTORIA ZARAGOZA KM 16,SAN JUAN Y EL RANCHITO,CD VICTORIA TAMPS
GASOL LA LIBERTAD,GASOLINERA LA LIBERTAD SA CV  ,16 SEPTIEMBRE ESQ TEODOCIA CAS,CENTRO,CD VICTORIA TAMPS
SERV MARLI,HERNANDEZ DEL ANGEL LUISA,LIB NACIONES UNIDAS NO 1048,CENTRO,CD VICTORIA TAMPS
SERV OROZCO,SERV OROZCO SA CV,CARR MONTERREY KM 9.5,SERDAN AQUILES,CD VICTORIA TAMPS
ADMINISTRADORA BARCRIS,ADMINISTRADORA BARCRIS SA CV  ,KM 8.5 CEL SAN MIGUEL SN,SAN JUAN DE LA VEGA,CELAYA GTO
GASOL SEVIBA,SEVIBA SA CV,AV IRRIGACION NO 507 A OTE,LAS DELICIAS,CELAYA GTO
NOVOGAS ALBINO,NOVOGAS ALBINO GARCIA SA CV,ALBINO GARCIA NO 514,LA JOYA,CELAYA GTO
NOVOGAS CONSTITUYENTES,NOVOGAS CONSTITUYENTES SA CV  ,AV CONTITUYENTES NO 601,JARDINES DE CELAYA 1A SECCION,CELAYA GTO
SERV EXPRESS CEGAS DEB,SERV EXPRESS CEGAS SA CV,CARR IND VILLAGRAN ACCSO APTO,EL PUENTE,CELAYA GTO
SERV IRRIGACION,SERV IRRIGACION SA CV,ANENECUILCO NO 202 E Z,CIUDAD INDUSTRIAL,CELAYA GTO
GARAGE QUINTANILLA,GARAGE QUINTANILLA SA CV,CARR MIGUEL ALEMAN KM 95,CERRALVO CIUDAD,CERRALVO NL
CORPOSTAR,CORPOSTAR SA CV,CARR MEX CUAUTLA NO KM 10 5,CUAUTZINGO,CHALCO EM
EL AGUILA,GAS LA HACIENDA DE XICO SA CV ,CARR MEXICO CUAUTLA KM 38 5 NO,CENTRO,CHALCO EM
ESTACION 5868,SERVICIO SOLARES SA CV,CARR CHALCO TLAHUAC SN,SAN SEBASTIAN BRRIO,CHALCO EM
ESTACION 5868 DEB,SERVICIO SOLARES SA CV,CARR CHALCO TLAHUAC SN,SAN SEBASTIAN BRRIO,CHALCO EM
GASOL BELLAGIO,LOPEZ MENDOZA SONIA BEATRIZ,CARR FED MEX CUAUTL KM 10 5 L1,CUAUTZINGO,CHALCO EM
GASOL LAM,GASOLINERA LAM SA CV,AV SOLIDARIDAD SN,UNION DE GUADALUPE,CHALCO EM
LUB MANGUERAS Y REFACC,LUB MANGUERAS Y REFACCIONES SA,AV CUAUHTEMOC OTE SN ESQ REF,CENTRO,CHALCO EM
SERV OSSO,GRUPO OSSO DE MEXICO SA CV,AV SOLIDARIDAD SN ESQ LA CONCE,TRES MARIAS,CHALCO EM
SERV SOBREDO,SERV SOBREDO SA CV,ELE 10 SUR MZ 27 LT 5 SN,VALLE DE CHALCO,CHALCO EM
GASOL GALAXIA,HERNANDEZ GONZALEZ MERCED,CARR GDL LA BARCA KM 42,CENTRO,CHAPALA JAL
GASOL GALAXIA N1,HERNANDEZ GONZALEZ MERCEDES,AGRARISMO NO 204 CARR GDL KM 4,ATOTONILQUILLO,CHAPALA JAL
